,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,combination_course_key,course_student_combination_key,date_registration,date_unregistration
0,AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,AAA2013J,AAA2013J11391,-159.0,
1,AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,AAA2013J,AAA2013J28400,-53.0,
2,AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,AAA2013J,AAA2013J30268,-92.0,12.0
3,AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,AAA2013J,AAA2013J31604,-52.0,
4,AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,AAA2013J,AAA2013J32885,-176.0,
5,AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,AAA2013J,AAA2013J38053,-110.0,
6,AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,AAA2013J,AAA2013J45462,-67.0,
7,AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,AAA2013J45642,-29.0,
8,AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,AAA2013J,AAA2013J52130,-33.0,
9,AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,AAA2013J,AAA2013J53025,-179.0,
10,AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,AAA2013J,AAA2013J57506,-103.0,
11,AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,AAA2013J58873,-47.0,
12,AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,AAA2013J,AAA2013J59185,-59.0,
13,AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,AAA2013J,AAA2013J62155,-68.0,
